순번,품종,시도,시군,년도,전체호수,전체두수,2000두 이상(호수),2000두 이상(두수),2000두-1000두 이상(호수),2000두-1000두 이상(두수),1000두-500두 이상(호수),1000두-500두 이상(두수),500두-60두 이상(호수),500두-60두 이상(두수),60두-0두 이상(호수),60두-0두 이상(두수)
1,종돈,부산,부산,2018,1,1,0,0,0,0,0,0,0,0,1,1
2,종돈,대구,대구,2026,3,13644,2,13500,0,0,0,0,1,144,0,0
3,종돈,대구,대구,2025,3,14150,2,14000,0,0,0,0,1,150,0,0
4,종돈,대구,대구,2024,3,15160,2,15000,0,0,0,0,1,160,0,0
5,종돈,대구,대구,2023,3,13165,2,13000,0,0,0,0,1,165,0,0
6,종돈,대구,대구,2022,3,13110,2,13000,0,0,0,0,1,110,0,0
7,종돈,대구,대구,2021,3,13080,2,13000,0,0,0,0,1,80,0,0
8,종돈,대구,대구,2020,3,13035,2,12950,0,0,0,0,1,85,0,0
9,종돈,대구,대구,2019,3,17250,2,17150,0,0,0,0,1,100,0,0
10,종돈,대구,대구,2018,3,15250,2,15150,0,0,0,0,1,100,0,0
11,종돈,세종,세종,2026,1,171,0,0,0,0,0,0,1,171,0,0
12,종돈,세종,세종,2025,1,145,0,0,0,0,0,0,1,145,0,0
13,종돈,세종,세종,2024,1,147,0,0,0,0,0,0,1,147,0,0
14,종돈,세종,세종,2023,1,147,0,0,0,0,0,0,1,147,0,0
15,종돈,세종,세종,2022,1,121,0,0,0,0,0,0,1,121,0,0
16,종돈,세종,세종,2021,1,164,0,0,0,0,0,0,1,164,0,0
17,종돈,세종,세종,2020,1,176,0,0,0,0,0,0,1,176,0,0
18,종돈,세종,세종,2019,1,127,0,0,0,0,0,0,1,127,0,0
19,종돈,세종,세종,2018,1,165,0,0,0,0,0,0,1,165,0,0
20,종돈,경기,안성시,2026,2,10570,2,10570,0,0,0,0,0,0,0,0
21,종돈,경기,안성시,2025,3,8200,2,7000,1,1200,0,0,0,0,0,0
22,종돈,경기,안성시,2024,3,11450,2,10870,0,0,1,580,0,0,0,0
23,종돈,경기,안성시,2023,3,11644,2,10721,0,0,1,923,0,0,0,0
24,종돈,경기,안성시,2022,3,10955,2,10163,0,0,1,792,0,0,0,0
25,종돈,경기,안성시,2021,3,8200,2,6700,1,1500,0,0,0,0,0,0
26,종돈,경기,안성시,2020,2,2890,1,2300,0,0,1,590,0,0,0,0
27,종돈,경기,안성시,2019,3,10000,3,10000,0,0,0,0,0,0,0,0
28,종돈,경기,안성시,2018,3,12500,2,11500,1,1000,0,0,0,0,0,0
29,종돈,경기,양주시,2020,2,1600,0,0,0,0,2,1600,0,0,0,0
30,종돈,경기,양주시,2019,2,1400,0,0,0,0,2,1400,0,0,0,0
31,종돈,경기,양주시,2018,1,1600,0,0,1,1600,0,0,0,0,0,0
32,종돈,경기,양평군,2026,1,6500,1,6500,0,0,0,0,0,0,0,0
33,종돈,경기,양평군,2025,1,6500,1,6500,0,0,0,0,0,0,0,0
34,종돈,경기,양평군,2024,1,6500,1,6500,0,0,0,0,0,0,0,0
35,종돈,경기,양평군,2023,1,6500,1,6500,0,0,0,0,0,0,0,0
36,종돈,경기,양평군,2022,1,6400,1,6400,0,0,0,0,0,0,0,0
37,종돈,경기,양평군,2021,1,5922,1,5922,0,0,0,0,0,0,0,0
38,종돈,경기,양평군,2020,1,5980,1,5980,0,0,0,0,0,0,0,0
39,종돈,경기,양평군,2019,1,5560,1,5560,0,0,0,0,0,0,0,0
40,종돈,경기,양평군,2018,1,5500,1,5500,0,0,0,0,0,0,0,0
41,종돈,경기,여주시,2026,1,60,0,0,0,0,0,0,1,60,0,0
42,종돈,경기,여주시,2025,3,3060,0,0,2,3000,0,0,1,60,0,0
43,종돈,경기,여주시,2024,3,2160,0,0,1,1600,1,500,1,60,0,0
44,종돈,경기,여주시,2023,3,1318,0,0,1,1000,0,0,1,270,1,48
45,종돈,경기,여주시,2022,3,2557,0,0,2,2500,0,0,0,0,1,57
46,종돈,경기,여주시,2021,3,2456,0,0,1,1600,1,800,0,0,1,56
47,종돈,경기,여주시,2020,3,3371,0,0,2,3300,0,0,1,71,0,0
48,종돈,경기,여주시,2019,3,3374,0,0,2,3300,0,0,1,74,0,0
49,종돈,경기,여주시,2018,4,2162,0,0,1,1200,1,890,1,71,1,1
50,종돈,경기,연천군,2026,4,7219,2,7000,0,0,0,0,2,219,0,0
51,종돈,경기,연천군,2025,4,6973,2,6767,0,0,0,0,1,150,1,56
52,종돈,경기,연천군,2024,3,3699,1,3500,0,0,0,0,1,150,1,49
53,종돈,경기,연천군,2023,3,3340,1,3140,0,0,0,0,1,146,1,54
54,종돈,경기,연천군,2022,2,227,0,0,0,0,0,0,2,227,0,0
55,종돈,경기,연천군,2021,2,133,0,0,0,0,0,0,1,87,1,46
56,종돈,경기,연천군,2019,3,6149,1,5900,0,0,0,0,2,249,0,0
57,종돈,경기,연천군,2018,3,7224,1,7000,0,0,0,0,1,175,1,49
58,종돈,경기,용인시,2022,1,45,0,0,0,0,0,0,0,0,1,45
59,종돈,경기,용인시,2021,1,45,0,0,0,0,0,0,0,0,1,45
60,종돈,경기,용인시,2020,1,32,0,0,0,0,0,0,0,0,1,32
61,종돈,경기,용인시,2019,1,57,0,0,0,0,0,0,0,0,1,57
62,종돈,경기,용인시,2018,2,41,0,0,0,0,0,0,0,0,2,41
63,종돈,경기,이천시,2026,3,8447,3,8447,0,0,0,0,0,0,0,0
64,종돈,경기,이천시,2025,3,8397,2,6447,1,1950,0,0,0,0,0,0
65,종돈,경기,이천시,2024,3,7500,2,5900,1,1600,0,0,0,0,0,0
66,종돈,경기,이천시,2023,3,8500,3,8500,0,0,0,0,0,0,0,0
67,종돈,경기,이천시,2022,2,5600,1,3900,1,1700,0,0,0,0,0,0
68,종돈,경기,이천시,2021,2,5100,1,3600,1,1500,0,0,0,0,0,0
69,종돈,경기,이천시,2020,3,6833,1,5000,1,1500,0,0,1,333,0,0
70,종돈,경기,이천시,2019,3,6776,2,6054,0,0,1,722,0,0,0,0
71,종돈,경기,이천시,2018,3,6270,1,3800,1,1851,1,619,0,0,0,0
72,종돈,경기,파주시,2025,1,42,0,0,0,0,0,0,0,0,1,42
73,종돈,경기,파주시,2024,1,45,0,0,0,0,0,0,0,0,1,45
74,종돈,경기,파주시,2023,1,34,0,0,0,0,0,0,0,0,1,34
75,종돈,경기,파주시,2022,1,33,0,0,0,0,0,0,0,0,1,33
76,종돈,경기,파주시,2019,2,1941,0,0,1,1900,0,0,0,0,1,41
77,종돈,경기,파주시,2018,2,2054,1,2000,0,0,0,0,0,0,1,54
78,종돈,경기,평택시,2026,1,7341,1,7341,0,0,0,0,0,0,0,0
79,종돈,경기,평택시,2025,1,7341,1,7341,0,0,0,0,0,0,0,0
80,종돈,경기,평택시,2024,1,7381,1,7381,0,0,0,0,0,0,0,0
81,종돈,경기,평택시,2023,1,6498,1,6498,0,0,0,0,0,0,0,0
82,종돈,경기,평택시,2022,1,5500,1,5500,0,0,0,0,0,0,0,0
83,종돈,경기,평택시,2021,1,5500,1,5500,0,0,0,0,0,0,0,0
84,종돈,경기,평택시,2020,1,5500,1,5500,0,0,0,0,0,0,0,0
85,종돈,경기,평택시,2019,1,7000,1,7000,0,0,0,0,0,0,0,0
86,종돈,경기,평택시,2018,1,9000,1,9000,0,0,0,0,0,0,0,0
87,종돈,경기,포천시,2026,8,30240,5,27200,2,2600,0,0,1,440,0,0
88,종돈,경기,포천시,2025,8,31577,6,29177,2,2400,0,0,0,0,0,0
89,종돈,경기,포천시,2024,7,19804,4,17400,1,1400,1,900,1,104,0,0
90,종돈,경기,포천시,2023,7,23432,5,20662,2,2770,0,0,0,0,0,0
91,종돈,경기,포천시,2022,6,19587,4,17387,2,2200,0,0,0,0,0,0
92,종돈,경기,포천시,2021,7,21359,5,19179,1,1380,1,800,0,0,0,0
93,종돈,경기,포천시,2020,7,24887,5,22487,1,1600,1,800,0,0,0,0
94,종돈,경기,포천시,2019,8,25900,5,22600,2,2900,0,0,1,400,0,0
95,종돈,경기,포천시,2018,7,21880,4,17880,2,3200,1,800,0,0,0,0
96,종돈,경기,화성시,2026,1,2000,1,2000,0,0,0,0,0,0,0,0
97,종돈,경기,화성시,2025,1,8160,1,8160,0,0,0,0,0,0,0,0
98,종돈,경기,화성시,2024,1,7900,1,7900,0,0,0,0,0,0,0,0
99,종돈,경기,화성시,2023,2,16887,2,16887,0,0,0,0,0,0,0,0
100,종돈,경기,화성시,2022,1,6500,1,6500,0,0,0,0,0,0,0,0
101,종돈,경기,화성시,2021,1,6500,1,6500,0,0,0,0,0,0,0,0
102,종돈,경기,화성시,2020,1,6500,1,6500,0,0,0,0,0,0,0,0
103,종돈,경기,화성시,2019,1,6760,1,6760,0,0,0,0,0,0,0,0
104,종돈,경기,화성시,2018,1,6000,1,6000,0,0,0,0,0,0,0,0
105,종돈,강원,강릉시,2026,4,37000,4,37000,0,0,0,0,0,0,0,0
106,종돈,강원,강릉시,2025,4,37720,4,37720,0,0,0,0,0,0,0,0
107,종돈,강원,강릉시,2024,4,28720,4,28720,0,0,0,0,0,0,0,0
108,종돈,강원,강릉시,2023,4,44000,4,44000,0,0,0,0,0,0,0,0
109,종돈,강원,강릉시,2022,4,55000,4,55000,0,0,0,0,0,0,0,0
110,종돈,강원,강릉시,2021,2,8600,2,8600,0,0,0,0,0,0,0,0
111,종돈,강원,강릉시,2020,4,52600,4,52600,0,0,0,0,0,0,0,0
112,종돈,강원,강릉시,2019,4,52200,4,52200,0,0,0,0,0,0,0,0
113,종돈,강원,강릉시,2018,4,58400,4,58400,0,0,0,0,0,0,0,0
114,종돈,강원,영월군,2026,2,4000,2,4000,0,0,0,0,0,0,0,0
115,종돈,강원,영월군,2025,2,4000,2,4000,0,0,0,0,0,0,0,0
116,종돈,강원,영월군,2024,2,4000,2,4000,0,0,0,0,0,0,0,0
117,종돈,강원,영월군,2023,2,4000,2,4000,0,0,0,0,0,0,0,0
118,종돈,강원,영월군,2022,2,4000,2,4000,0,0,0,0,0,0,0,0
119,종돈,강원,영월군,2021,2,4000,2,4000,0,0,0,0,0,0,0,0
120,종돈,강원,영월군,2020,2,2800,0,0,2,2800,0,0,0,0,0,0
121,종돈,강원,영월군,2019,2,3400,0,0,2,3400,0,0,0,0,0,0
122,종돈,강원,영월군,2018,2,3400,0,0,2,3400,0,0,0,0,0,0
123,종돈,강원,원주시,2026,4,9256,2,7600,0,0,2,1656,0,0,0,0
124,종돈,강원,원주시,2025,8,24974,4,23830,0,0,2,1000,2,144,0,0
125,종돈,강원,원주시,2024,10,30870,6,29830,0,0,2,1000,0,0,2,40
126,종돈,강원,원주시,2023,10,33264,6,31084,2,2140,0,0,0,0,2,40
127,종돈,강원,원주시,2022,8,30980,6,30760,0,0,0,0,2,220,0,0
128,종돈,강원,원주시,2021,8,26220,6,26000,0,0,0,0,2,220,0,0
129,종돈,강원,원주시,2020,6,12820,2,12000,0,0,0,0,4,820,0,0
130,종돈,강원,원주시,2019,8,26002,6,25800,0,0,0,0,2,202,0,0
131,종돈,강원,원주시,2018,8,24246,6,24044,0,0,0,0,2,202,0,0
132,종돈,강원,철원군,2026,4,18000,4,18000,0,0,0,0,0,0,0,0
133,종돈,강원,철원군,2025,4,17600,4,17600,0,0,0,0,0,0,0,0
134,종돈,강원,철원군,2024,4,17600,4,17600,0,0,0,0,0,0,0,0
135,종돈,강원,철원군,2023,6,21940,6,21940,0,0,0,0,0,0,0,0
136,종돈,강원,철원군,2022,6,22200,6,22200,0,0,0,0,0,0,0,0
137,종돈,강원,철원군,2021,8,28100,8,28100,0,0,0,0,0,0,0,0
138,종돈,강원,철원군,2020,8,25818,8,25818,0,0,0,0,0,0,0,0
139,종돈,강원,철원군,2019,6,17938,6,17938,0,0,0,0,0,0,0,0
140,종돈,강원,철원군,2018,6,17938,6,17938,0,0,0,0,0,0,0,0
141,종돈,강원,평창군,2026,8,47500,8,47500,0,0,0,0,0,0,0,0
142,종돈,강원,평창군,2025,8,50800,8,50800,0,0,0,0,0,0,0,0
143,종돈,강원,평창군,2024,8,50800,8,50800,0,0,0,0,0,0,0,0
144,종돈,강원,평창군,2023,8,50800,8,50800,0,0,0,0,0,0,0,0
145,종돈,강원,평창군,2022,8,44800,8,44800,0,0,0,0,0,0,0,0
146,종돈,강원,평창군,2021,8,44400,8,44400,0,0,0,0,0,0,0,0
147,종돈,강원,평창군,2020,8,49600,8,49600,0,0,0,0,0,0,0,0
148,종돈,강원,평창군,2019,2,2600,0,0,2,2600,0,0,0,0,0,0
149,종돈,강원,평창군,2018,2,2600,0,0,2,2600,0,0,0,0,0,0
150,종돈,강원,화천군,2026,2,2610,0,0,2,2610,0,0,0,0,0,0
151,종돈,강원,화천군,2024,2,6400,2,6400,0,0,0,0,0,0,0,0
152,종돈,강원,화천군,2023,2,8134,2,8134,0,0,0,0,0,0,0,0
153,종돈,강원,화천군,2022,2,8600,2,8600,0,0,0,0,0,0,0,0
154,종돈,강원,화천군,2021,2,8600,2,8600,0,0,0,0,0,0,0,0
155,종돈,강원,화천군,2020,2,8048,2,8048,0,0,0,0,0,0,0,0
156,종돈,강원,화천군,2019,2,7600,2,7600,0,0,0,0,0,0,0,0
157,종돈,강원,화천군,2018,2,7600,2,7600,0,0,0,0,0,0,0,0
158,종돈,강원,횡성군,2026,4,88238,4,88238,0,0,0,0,0,0,0,0
159,종돈,강원,횡성군,2025,4,78466,4,78466,0,0,0,0,0,0,0,0
160,종돈,강원,횡성군,2024,4,98892,4,98892,0,0,0,0,0,0,0,0
161,종돈,강원,횡성군,2023,4,81734,4,81734,0,0,0,0,0,0,0,0
162,종돈,강원,횡성군,2022,4,80722,4,80722,0,0,0,0,0,0,0,0
163,종돈,강원,횡성군,2021,2,71036,2,71036,0,0,0,0,0,0,0,0
164,종돈,강원,횡성군,2020,6,153672,4,153592,0,0,0,0,0,0,2,80
165,종돈,강원,횡성군,2019,4,67562,2,67482,0,0,0,0,0,0,2,80
166,종돈,강원,횡성군,2018,4,65010,2,64956,0,0,0,0,0,0,2,54
167,종돈,충북,괴산군,2026,1,240,0,0,0,0,0,0,1,240,0,0
168,종돈,충북,괴산군,2025,1,240,0,0,0,0,0,0,1,240,0,0
169,종돈,충북,괴산군,2024,1,240,0,0,0,0,0,0,1,240,0,0
170,종돈,충북,괴산군,2023,1,240,0,0,0,0,0,0,1,240,0,0
171,종돈,충북,괴산군,2022,1,240,0,0,0,0,0,0,1,240,0,0
172,종돈,충북,괴산군,2021,2,8038,1,6400,1,1638,0,0,0,0,0,0
173,종돈,충북,단양군,2026,2,6550,1,5050,1,1500,0,0,0,0,0,0
174,종돈,충북,단양군,2025,2,6700,1,5200,1,1500,0,0,0,0,0,0
175,종돈,충북,단양군,2024,2,6400,1,5200,1,1200,0,0,0,0,0,0
176,종돈,충북,단양군,2023,2,6400,1,5200,1,1200,0,0,0,0,0,0
177,종돈,충북,단양군,2022,2,6500,1,5000,1,1500,0,0,0,0,0,0
178,종돈,충북,단양군,2021,3,7057,1,5500,1,1500,0,0,0,0,1,57
179,종돈,충북,단양군,2020,2,6691,1,5191,1,1500,0,0,0,0,0,0
180,종돈,충북,단양군,2019,2,6244,1,4844,1,1400,0,0,0,0,0,0
181,종돈,충북,단양군,2018,2,5484,1,4484,1,1000,0,0,0,0,0,0
182,종돈,충북,보은군,2026,2,4620,1,4070,0,0,1,550,0,0,0,0
183,종돈,충북,보은군,2025,2,4930,1,4380,0,0,1,550,0,0,0,0
184,종돈,충북,보은군,2024,2,4930,1,4380,0,0,1,550,0,0,0,0
185,종돈,충북,보은군,2023,2,4650,1,4200,0,0,0,0,1,450,0,0
186,종돈,충북,보은군,2022,2,4150,1,3700,0,0,0,0,1,450,0,0
187,종돈,충북,보은군,2021,1,3999,1,3999,0,0,0,0,0,0,0,0
188,종돈,충북,보은군,2020,1,3999,1,3999,0,0,0,0,0,0,0,0
189,종돈,충북,보은군,2019,1,2898,1,2898,0,0,0,0,0,0,0,0
190,종돈,충북,보은군,2018,1,3200,1,3200,0,0,0,0,0,0,0,0
191,종돈,충북,음성군,2026,3,9141,2,9040,0,0,0,0,1,101,0,0
192,종돈,충북,음성군,2025,3,12195,2,12100,0,0,0,0,1,95,0,0
193,종돈,충북,음성군,2024,3,12201,2,12100,0,0,0,0,1,101,0,0
194,종돈,충북,음성군,2023,4,11953,2,11800,0,0,0,0,2,153,0,0
195,종돈,충북,음성군,2022,4,10727,2,10600,0,0,0,0,1,69,1,58
196,종돈,충북,음성군,2021,4,10841,2,10700,0,0,0,0,2,141,0,0
197,종돈,충북,음성군,2020,3,10717,2,10621,0,0,0,0,1,96,0,0
198,종돈,충북,음성군,2019,3,9072,2,8990,0,0,0,0,1,82,0,0
199,종돈,충북,음성군,2018,3,10629,2,10570,0,0,0,0,0,0,1,59
200,종돈,충북,제천시,2026,1,4360,1,4360,0,0,0,0,0,0,0,0
201,종돈,충북,제천시,2025,1,4300,1,4300,0,0,0,0,0,0,0,0
202,종돈,충북,제천시,2024,1,4300,1,4300,0,0,0,0,0,0,0,0
203,종돈,충북,제천시,2023,1,4100,1,4100,0,0,0,0,0,0,0,0
204,종돈,충북,제천시,2022,1,4160,1,4160,0,0,0,0,0,0,0,0
205,종돈,충북,제천시,2021,2,4767,1,3940,0,0,1,827,0,0,0,0
206,종돈,충북,제천시,2020,2,6041,1,4366,1,1675,0,0,0,0,0,0
207,종돈,충북,제천시,2019,2,4420,1,3190,1,1230,0,0,0,0,0,0
208,종돈,충북,제천시,2018,2,4720,1,3150,1,1570,0,0,0,0,0,0
209,종돈,충북,진천군,2026,1,5750,1,5750,0,0,0,0,0,0,0,0
210,종돈,충북,진천군,2025,1,4800,1,4800,0,0,0,0,0,0,0,0
211,종돈,충북,진천군,2024,1,4600,1,4600,0,0,0,0,0,0,0,0
212,종돈,충북,진천군,2023,1,4600,1,4600,0,0,0,0,0,0,0,0
213,종돈,충북,진천군,2022,1,4300,1,4300,0,0,0,0,0,0,0,0
214,종돈,충북,진천군,2021,1,4805,1,4805,0,0,0,0,0,0,0,0
215,종돈,충북,진천군,2020,1,4755,1,4755,0,0,0,0,0,0,0,0
216,종돈,충북,진천군,2019,3,4374,1,4356,0,0,0,0,0,0,2,18
217,종돈,충북,진천군,2018,2,4908,1,4894,0,0,0,0,0,0,1,14
218,종돈,충북,청주시,2026,3,3704,0,0,2,3650,0,0,0,0,1,54
219,종돈,충북,청주시,2025,3,2327,0,0,1,1880,0,0,1,398,1,49
220,종돈,충북,청주시,2024,2,1907,0,0,1,1880,0,0,0,0,1,27
221,종돈,충북,청주시,2023,2,1941,0,0,1,1880,0,0,1,61,0,0
222,종돈,충북,청주시,2022,2,1941,0,0,1,1880,0,0,1,61,0,0
223,종돈,충북,청주시,2021,2,1958,0,0,1,1880,0,0,1,78,0,0
224,종돈,충북,청주시,2020,2,1957,0,0,1,1880,0,0,1,77,0,0
225,종돈,충북,청주시,2019,3,5322,1,3350,1,1880,0,0,1,92,0,0
226,종돈,충북,청주시,2018,4,10608,2,10530,0,0,0,0,1,75,1,3
227,종돈,충북,충주시,2026,4,18504,2,18200,0,0,0,0,2,304,0,0
228,종돈,충북,충주시,2025,4,14478,2,14200,0,0,0,0,2,278,0,0
229,종돈,충북,충주시,2024,4,10179,1,9000,0,0,1,943,2,236,0,0
230,종돈,충북,충주시,2023,4,10198,1,9000,0,0,1,943,2,255,0,0
231,종돈,충북,충주시,2022,4,10215,1,9000,0,0,1,943,2,272,0,0
232,종돈,충북,충주시,2021,4,7707,1,6500,0,0,1,943,2,264,0,0
233,종돈,충북,충주시,2020,4,1435,0,0,1,1230,0,0,1,146,2,59
234,종돈,충북,충주시,2019,2,276,0,0,0,0,0,0,2,276,0,0
235,종돈,충북,충주시,2018,2,246,0,0,0,0,0,0,2,246,0,0
236,종돈,충남,공주시,2026,1,4923,1,4923,0,0,0,0,0,0,0,0
237,종돈,충남,공주시,2025,1,3900,1,3900,0,0,0,0,0,0,0,0
238,종돈,충남,공주시,2024,1,3900,1,3900,0,0,0,0,0,0,0,0
239,종돈,충남,공주시,2023,1,3900,1,3900,0,0,0,0,0,0,0,0
240,종돈,충남,공주시,2022,1,3600,1,3600,0,0,0,0,0,0,0,0
241,종돈,충남,공주시,2021,1,3636,1,3636,0,0,0,0,0,0,0,0
242,종돈,충남,공주시,2020,1,3646,1,3646,0,0,0,0,0,0,0,0
243,종돈,충남,공주시,2019,1,3646,1,3646,0,0,0,0,0,0,0,0
244,종돈,충남,공주시,2018,1,3706,1,3706,0,0,0,0,0,0,0,0
245,종돈,충남,논산시,2026,1,162,0,0,0,0,0,0,1,162,0,0
246,종돈,충남,논산시,2025,1,144,0,0,0,0,0,0,1,144,0,0
247,종돈,충남,논산시,2024,1,147,0,0,0,0,0,0,1,147,0,0
248,종돈,충남,논산시,2023,1,137,0,0,0,0,0,0,1,137,0,0
249,종돈,충남,논산시,2022,1,152,0,0,0,0,0,0,1,152,0,0
250,종돈,충남,논산시,2021,1,117,0,0,0,0,0,0,1,117,0,0
251,종돈,충남,논산시,2020,1,114,0,0,0,0,0,0,1,114,0,0
252,종돈,충남,논산시,2019,1,100,0,0,0,0,0,0,1,100,0,0
253,종돈,충남,논산시,2018,3,12120,2,12000,0,0,0,0,1,120,0,0
254,종돈,충남,당진시,2026,1,103,0,0,0,0,0,0,1,103,0,0
255,종돈,충남,당진시,2025,1,103,0,0,0,0,0,0,1,103,0,0
256,종돈,충남,당진시,2024,1,103,0,0,0,0,0,0,1,103,0,0
257,종돈,충남,당진시,2023,1,100,0,0,0,0,0,0,1,100,0,0
258,종돈,충남,당진시,2022,1,100,0,0,0,0,0,0,1,100,0,0
259,종돈,충남,당진시,2021,1,100,0,0,0,0,0,0,1,100,0,0
260,종돈,충남,당진시,2020,1,100,0,0,0,0,0,0,1,100,0,0
261,종돈,충남,당진시,2019,1,100,0,0,0,0,0,0,1,100,0,0
262,종돈,충남,당진시,2018,1,92,0,0,0,0,0,0,1,92,0,0
263,종돈,충남,보령시,2026,2,89,0,0,0,0,0,0,0,0,2,89
264,종돈,충남,보령시,2025,2,132,0,0,0,0,0,0,1,100,1,32
265,종돈,충남,보령시,2024,1,32,0,0,0,0,0,0,0,0,1,32
266,종돈,충남,보령시,2023,2,69,0,0,0,0,0,0,0,0,2,69
267,종돈,충남,보령시,2022,2,57,0,0,0,0,0,0,0,0,2,57
268,종돈,충남,보령시,2021,2,59,0,0,0,0,0,0,0,0,2,59
269,종돈,충남,보령시,2020,2,55,0,0,0,0,0,0,0,0,2,55
270,종돈,충남,보령시,2019,2,57,0,0,0,0,0,0,0,0,2,57
271,종돈,충남,보령시,2018,3,12568,1,12513,0,0,0,0,0,0,2,55
272,종돈,충남,부여군,2026,3,30500,2,29000,1,1500,0,0,0,0,0,0
273,종돈,충남,부여군,2025,4,34000,3,33000,1,1000,0,0,0,0,0,0
274,종돈,충남,부여군,2024,4,34000,3,33000,1,1000,0,0,0,0,0,0
275,종돈,충남,부여군,2023,4,34000,3,33000,1,1000,0,0,0,0,0,0
276,종돈,충남,부여군,2022,4,34000,3,33000,1,1000,0,0,0,0,0,0
277,종돈,충남,부여군,2021,4,30800,3,29800,1,1000,0,0,0,0,0,0
278,종돈,충남,부여군,2020,3,18800,3,18800,0,0,0,0,0,0,0,0
279,종돈,충남,부여군,2019,3,18800,3,18800,0,0,0,0,0,0,0,0
280,종돈,충남,부여군,2018,2,4590,1,4500,0,0,0,0,1,90,0,0
281,종돈,충남,서산시,2026,1,2752,1,2752,0,0,0,0,0,0,0,0
282,종돈,충남,서산시,2025,1,2693,1,2693,0,0,0,0,0,0,0,0
283,종돈,충남,서산시,2024,1,2800,1,2800,0,0,0,0,0,0,0,0
284,종돈,충남,서산시,2023,1,2800,1,2800,0,0,0,0,0,0,0,0
285,종돈,충남,서산시,2022,1,2300,1,2300,0,0,0,0,0,0,0,0
286,종돈,충남,서산시,2021,1,2500,1,2500,0,0,0,0,0,0,0,0
287,종돈,충남,서산시,2020,1,3105,1,3105,0,0,0,0,0,0,0,0
288,종돈,충남,서산시,2019,1,3105,1,3105,0,0,0,0,0,0,0,0
289,종돈,충남,서산시,2018,1,3105,1,3105,0,0,0,0,0,0,0,0
290,종돈,충남,아산시,2026,2,4100,1,2800,1,1300,0,0,0,0,0,0
291,종돈,충남,아산시,2025,1,3000,1,3000,0,0,0,0,0,0,0,0
292,종돈,충남,아산시,2024,1,3000,1,3000,0,0,0,0,0,0,0,0
293,종돈,충남,아산시,2023,1,3000,1,3000,0,0,0,0,0,0,0,0
294,종돈,충남,아산시,2022,1,3000,1,3000,0,0,0,0,0,0,0,0
295,종돈,충남,아산시,2021,1,2980,1,2980,0,0,0,0,0,0,0,0
296,종돈,충남,아산시,2020,1,3000,1,3000,0,0,0,0,0,0,0,0
297,종돈,충남,아산시,2019,1,3000,1,3000,0,0,0,0,0,0,0,0
298,종돈,충남,아산시,2018,1,3000,1,3000,0,0,0,0,0,0,0,0
299,종돈,충남,예산군,2026,1,66,0,0,0,0,0,0,1,66,0,0
300,종돈,충남,예산군,2025,1,84,0,0,0,0,0,0,1,84,0,0
301,종돈,충남,예산군,2024,1,83,0,0,0,0,0,0,1,83,0,0
302,종돈,충남,예산군,2023,1,83,0,0,0,0,0,0,1,83,0,0
303,종돈,충남,예산군,2022,1,62,0,0,0,0,0,0,1,62,0,0
304,종돈,충남,예산군,2021,1,62,0,0,0,0,0,0,1,62,0,0
305,종돈,충남,예산군,2020,1,62,0,0,0,0,0,0,1,62,0,0
306,종돈,충남,예산군,2019,1,51,0,0,0,0,0,0,0,0,1,51
307,종돈,충남,예산군,2018,1,56,0,0,0,0,0,0,0,0,1,56
308,종돈,충남,천안시,2026,6,14818,2,13300,1,1110,0,0,3,408,0,0
309,종돈,충남,천안시,2025,6,15673,2,13800,1,1477,0,0,3,396,0,0
310,종돈,충남,천안시,2024,6,15673,2,13800,1,1477,0,0,3,396,0,0
311,종돈,충남,천안시,2023,6,15707,2,13800,1,1477,0,0,3,430,0,0
312,종돈,충남,천안시,2022,6,13813,2,12230,1,1190,0,0,3,393,0,0
313,종돈,충남,천안시,2021,6,14324,2,12934,1,1005,0,0,3,385,0,0
314,종돈,충남,천안시,2020,7,14275,2,12934,0,0,1,897,3,442,1,2
315,종돈,충남,천안시,2019,6,14634,2,12934,1,1270,0,0,3,430,0,0
316,종돈,충남,천안시,2018,8,16317,2,12934,2,2850,0,0,4,533,0,0
317,종돈,충남,청양군,2026,3,8227,2,7757,0,0,0,0,1,470,0,0
318,종돈,충남,청양군,2025,3,8070,2,7770,0,0,0,0,1,300,0,0
319,종돈,충남,청양군,2024,3,8370,2,7770,0,0,1,600,0,0,0,0
320,종돈,충남,청양군,2023,3,8470,2,7770,0,0,1,700,0,0,0,0
321,종돈,충남,청양군,2022,3,8520,2,7770,0,0,1,750,0,0,0,0
322,종돈,충남,청양군,2021,3,7920,2,7270,0,0,1,650,0,0,0,0
323,종돈,충남,청양군,2020,3,8284,2,7270,1,1014,0,0,0,0,0,0
324,종돈,충남,청양군,2019,3,7361,2,6289,1,1072,0,0,0,0,0,0
325,종돈,충남,청양군,2018,3,4420,1,3400,0,0,1,740,1,280,0,0
326,종돈,충남,태안군,2026,1,6679,1,6679,0,0,0,0,0,0,0,0
327,종돈,충남,태안군,2025,1,6500,1,6500,0,0,0,0,0,0,0,0
328,종돈,충남,태안군,2024,1,6500,1,6500,0,0,0,0,0,0,0,0
329,종돈,충남,태안군,2023,1,6500,1,6500,0,0,0,0,0,0,0,0
330,종돈,충남,태안군,2022,1,6500,1,6500,0,0,0,0,0,0,0,0
331,종돈,충남,태안군,2021,1,6500,1,6500,0,0,0,0,0,0,0,0
